Iesniegts;Grupa;Tips;Veids;Problēma;Departaments;Apstrādē;Status
"﻿""2018-01-01 19:36:46""";Ielas un ceļi;Ceļa aprīkojums;Bojāta ceļazīme;Sagāzta zīme;Cēsu novada Komunālā nodaļa;12h 01m 21s;Izpildītie
"﻿""2018-01-04 20:13:34""";Auto novietošana;Neatļauta novietošana;;A/m pie Loka ielas 1 novietos tā ka traucē gājēju kustību. Ar bērna ratiem neiespējami izspraukties.;Cēsu novada Pašvaldības policija;15h 01m 39s;Izpildītie
"﻿""2018-01-06 12:40:50""";Ielas un ceļi;Ceļa aprīkojums;Nedarbojas luksofors;Vai nu joprojām vai atkal nestrādā luksofora zaļā un dzeltenā gaisma būvmateriālu veikala pusē skatoties no Priekuļu puses;Cēsu novada Komunālā nodaļa;48h 24m 38s;Izpildītie
"﻿""2018-01-13 12:26:32""";Vide;Nesakopta teritorija;Nesavākti atkritumi;Nesakopta teritorija starp dzelzceļu un naftas bāzi;Cēsu novada Pašvaldības policija;77h 13m 04s;Izpildītie
"﻿""2018-01-17 09:53:12""";Vide;Nesakopta teritorija;Nesakopts īpašums;Vējš -lohs.;Cēsu novada Pašvaldības policija;01h 06m 43s;Izpildītie
"﻿""2018-01-21 16:36:55""";Apgaismojums;Daudzdzīvokļu ēku pagalmu apgaismojums;Atvērts komunikāciju lūkas vāks;test;Cēsu novada Komunālā nodaļa;65h 35m 40s;Izpildītie
"﻿""2018-01-22 08:23:41""";Ielas un ceļi;Ceļa aprīkojums;Nedarbojas luksofors;Nestrādā gājēju luksafora gaisma pie Mazās Maksimas.;Cēsu novada Komunālā nodaļa;06h 37m 49s;Izpildītie
"﻿""2018-01-23 12:47:44""";Sabiedriskā kārtība;Cilvēki;Iereibuši cilvēki;Labdien! Ezera ielas 6 kāpņu telpā  (trešā no Ezera ielas) guļ bezpajumntnieks. Lūgums pārvietot viņu uz kādu cilvēkam piemērotāku vietu.;Cēsu novada Pašvaldības policija;00h 54m 29s;Izpildītie
"﻿""2018-01-25 16:53:12""";Daudzdzīvokļu namu apsaimniekošana;Atkritumu izvešana;Nav izvesti atkritumi;Suņu atkritumu konteiners, nav iztukšots vismaz pus gadu. Pagaidām pilda dekoratīvas funkcijas.;Cēsu novada Komunālā nodaļa;17h 43m 29s;Izpildītie
"﻿""2018-01-25 20:00:00""";Apgaismojums;Ielu apgaismojums;Nedeg viena vai vairākas laternas;Labdien,kad beidzot pašvaldība padomās pa ielas apgaismojumu Zaļā ielā, Bišu un Kanāla ielā?Bērni paniski baidās iet pa melno ielu! Paldies;Cēsu novada Komunālā nodaļa;838h 59m 59s;Ilgtermiņa
"﻿""2018-01-25 21:27:06""";Daudzdzīvokļu namu apsaimniekošana;Apkure;;Vienmēr vēss dzīvoklis. Konkrēti Dzintara x - xx. Nezinu kā sazvanīt nama pārvaldnieku. ;Cēsu novada Komunālā nodaļa;15h 01m 43s;Noraidītie
