Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
20/07/2022 3:20:03 PM,"1179","26.6","43","1022"
20/07/2022 3:25:03 PM,"559","26.6","44","1022"
20/07/2022 3:30:03 PM,"564","26.0","44","1022"
20/07/2022 3:35:03 PM,"580","25.6","44","1022"
20/07/2022 3:40:03 PM,"559","25.2","44","1022"
20/07/2022 3:45:03 PM,"560","24.9","44","1022"
20/07/2022 3:50:03 PM,"532","24.7","45","1022"
20/07/2022 3:55:03 PM,"536","24.6","45","1022"
20/07/2022 4:00:03 PM,"522","24.4","45","1022"
20/07/2022 4:05:03 PM,"557","24.3","46","1022"
20/07/2022 4:10:03 PM,"612","24.3","46","1022"
20/07/2022 4:15:03 PM,"600","24.2","47","1022"
20/07/2022 4:20:03 PM,"624","24.2","47","1022"
20/07/2022 4:25:03 PM,"626","24.2","47","1022"
20/07/2022 4:30:03 PM,"627","24.2","47","1022"
20/07/2022 4:35:03 PM,"646","24.2","47","1022"
20/07/2022 4:40:03 PM,"620","24.1","47","1022"
20/07/2022 4:45:03 PM,"623","24.1","47","1022"
20/07/2022 4:50:03 PM,"639","24.1","48","1022"
20/07/2022 4:55:03 PM,"678","24.1","48","1022"
20/07/2022 5:00:03 PM,"697","24.1","49","1022"
20/07/2022 5:05:03 PM,"719","24.1","49","1022"
20/07/2022 5:10:03 PM,"719","24.1","49","1022"
20/07/2022 5:15:03 PM,"698","24.2","49","1022"
20/07/2022 5:20:03 PM,"658","24.1","49","1022"
20/07/2022 5:25:03 PM,"634","24.1","49","1022"
20/07/2022 5:30:03 PM,"626","24.1","49","1022"
20/07/2022 5:35:03 PM,"659","24.2","49","1021"
20/07/2022 5:40:03 PM,"567","24.2","48","1021"
20/07/2022 5:45:03 PM,"480","24.0","49","1022"
20/07/2022 5:50:03 PM,"486","24.0","49","1022"
20/07/2022 5:55:03 PM,"482","24.1","49","1022"
20/07/2022 6:00:03 PM,"471","24.1","49","1022"
20/07/2022 6:05:03 PM,"483","24.1","48","1022"
20/07/2022 6:10:03 PM,"465","24.1","48","1022"
20/07/2022 6:15:03 PM,"463","24.1","48","1022"
20/07/2022 6:20:03 PM,"451","24.1","49","1021"
20/07/2022 6:25:03 PM,"450","24.1","49","1021"
20/07/2022 6:30:03 PM,"453","24.1","49","1021"
